# Portfolio Plan,agresif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,8.36,82.76,83562
CWENE,core,,7.75,76.73,77473
AKBNK,core,banking_intrinsic,7.60,75.29,76023
VESTL,core,,7.19,71.21,71899
YKBNK,core,banking_intrinsic,7.17,70.98,71667
ARCLK,core,,7.07,70.01,70691
LOGO,core,,6.88,68.14,68803
TKNSA,core,,6.61,65.44,66080
ENJSA,core,,6.37,63.09,63702
EREGL,core,,6.20,61.40,61996
ISCTR,core,banking_intrinsic,6.19,61.27,61864
TCELL,core,,5.62,55.70,56240
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.34,20000
PGSUS,yuksek_kazanc,distress_turnaround,2.00,66.68,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
AKSA,yuksek_kazanc,deep_value,2.00,76.12,20000
HEKTS,yuksek_kazanc,distress_turnaround,2.00,60.46,20000
MAVI,yuksek_kazanc,deep_value,2.00,76.13,20000
OYAKC,yuksek_kazanc,deep_value,2.00,77.50,20000
KCAER,yuksek_kazanc,deep_value,2.00,74.42,20000
KONTR,yuksek_kazanc,distress_turnaround,2.00,80.22,20000
INFO,yuksek_kazanc,deep_value,2.00,82.18,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
ISMEN,yuksek_kazanc,deep_value,2.00,78.08,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.57,20000
ARENA,yuksek_kazanc,deep_value,2.00,81.66,20000
INDES,yuksek_kazanc,deep_value,2.00,78.27,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,63.40,20000
CASH,cash,reserve,0.00,,0
